council,index_url,error
Aberdeenshire,https://aberdeenshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='aberdeenshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='aberdeenshire.moderngov.co.uk', port=443): Failed to resolve 'aberdeenshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Arun,https://arun.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='arun.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='arun.moderngov.co.uk', port=443): Failed to resolve 'arun.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashfield,https://ashfield.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='ashfield.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='ashfield.moderngov.co.uk', port=443): Failed to resolve 'ashfield.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashford,https://ashford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='ashford.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='ashford.moderngov.co.uk', port=443): Failed to resolve 'ashford.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Barnet,https://barnet.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='barnet.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='barnet.moderngov.co.uk', port=443): Failed to resolve 'barnet.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bassetlaw,https://bassetlaw.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='bassetlaw.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bassetlaw.moderngov.co.uk', port=443): Failed to resolve 'bassetlaw.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blaby,https://blaby.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='blaby.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='blaby.moderngov.co.uk', port=443): Failed to resolve 'blaby.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blackpool,https://blackpool.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='blackpool.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='blackpool.moderngov.co.uk', port=443): Failed to resolve 'blackpool.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://bolsover.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='bolsover.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bolsover.moderngov.co.uk', port=443): Failed to resolve 'bolsover.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Boston,https://boston.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='boston.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='boston.moderngov.co.uk', port=443): Failed to resolve 'boston.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Breckland,https://breckland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='breckland.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='breckland.moderngov.co.uk', port=443): Failed to resolve 'breckland.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://bridgend.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='bridgend.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bridgend.moderngov.co.uk', port=443): Failed to resolve 'bridgend.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Broxbourne,https://broxbourne.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='broxbourne.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='broxbourne.moderngov.co.uk', port=443): Failed to resolve 'broxbourne.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Buckinghamshire,https://buckinghamshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='buckinghamshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='buckinghamshire.moderngov.co.uk', port=443): Failed to resolve 'buckinghamshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Calderdale,https://calderdale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='calderdale.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='calderdale.moderngov.co.uk', port=443): Failed to resolve 'calderdale.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://cambridgeshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='cambridgeshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.moderngov.co.uk', port=443): Failed to resolve 'cambridgeshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://cheshireeast.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='cheshireeast.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.moderngov.co.uk', port=443): Failed to resolve 'cheshireeast.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
