council,councillor_index_url,error
Ashford,https://democracy.ashford.gov.uk/mgMemberIndex.aspx?bcr=1 | https://ashford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.ashford.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.ashford.gov.uk', port=443): Failed to resolve 'democracy.ashford.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='ashford.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='ashford.moderngov.co.uk', port=443): Failed to resolve 'ashford.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://democracy.bolsover.gov.uk/mgMemberIndex.aspx?bcr=1 | https://bolsover.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.bolsover.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bolsover.gov.uk', port=443): Failed to resolve 'democracy.bolsover.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='bolsover.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bolsover.moderngov.co.uk', port=443): Failed to resolve 'bolsover.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://democracy.bridgend.gov.uk/mgMemberIndex.aspx?bcr=1 | https://bridgend.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.bridgend.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bridgend.gov.uk', port=443): Failed to resolve 'democracy.bridgend.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='bridgend.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bridgend.moderngov.co.uk', port=443): Failed to resolve 'bridgend.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://democracy.cambridgeshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://cambridgeshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.cambridgeshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cambridgeshire.gov.uk', port=443): Failed to resolve 'democracy.cambridgeshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='cambridgeshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.moderngov.co.uk', port=443): Failed to resolve 'cambridgeshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://democracy.cheshireeast.gov.uk/mgMemberIndex.aspx?bcr=1 | https://cheshireeast.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.cheshireeast.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cheshireeast.gov.uk', port=443): Failed to resolve 'democracy.cheshireeast.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='cheshireeast.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.moderngov.co.uk', port=443): Failed to resolve 'cheshireeast.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire West and Chester,https://democracy.cheshirewestandchester.gov.uk/mgMemberIndex.aspx?bcr=1 | https://cheshirewestandchester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.cheshirewestandchester.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cheshirewestandchester.gov.uk', port=443): Failed to resolve 'democracy.cheshirewestandchester.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='cheshirewestandchester.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshirewestandchester.moderngov.co.uk', port=443): Failed to resolve 'cheshirewestandchester.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Hertfordshire,https://democracy.easthertfordshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://easthertfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.easthertfordshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.easthertfordshire.gov.uk', port=443): Failed to resolve 'democracy.easthertfordshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='easthertfordshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='easthertfordshire.moderngov.co.uk', port=443): Failed to resolve 'easthertfordshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Lindsey,https://democracy.eastlindsey.gov.uk/mgMemberIndex.aspx?bcr=1 | https://eastlindsey.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.eastlindsey.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.eastlindsey.gov.uk', port=443): Failed to resolve 'democracy.eastlindsey.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='eastlindsey.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eastlindsey.moderngov.co.uk', port=443): Failed to resolve 'eastlindsey.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Riding of Yorkshire,https://democracy.eastridingofyorkshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://eastridingofyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.eastridingofyorkshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.eastridingofyorkshire.gov.uk', port=443): Failed to resolve 'democracy.eastridingofyorkshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='eastridingofyorkshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eastridingofyorkshire.moderngov.co.uk', port=443): Failed to resolve 'eastridingofyorkshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Elmbridge,https://democracy.elmbridge.gov.uk/mgMemberIndex.aspx?bcr=1 | https://elmbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.elmbridge.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.elmbridge.gov.uk', port=443): Failed to resolve 'democracy.elmbridge.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='elmbridge.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='elmbridge.moderngov.co.uk', port=443): Failed to resolve 'elmbridge.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
