council,option,status,final
Aberdeenshire,https://aberdeenshire.gov.uk/,,"HTTPSConnectionPool(host='aberdeenshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='aberdeenshire.gov.uk', port=443): Failed to resolve 'aberdeenshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Aberdeenshire,https://www.aberdeenshire.gov.uk/,,"HTTPSConnectionPool(host='www.aberdeenshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.aberdeenshire.gov.uk', port=443): Failed to resolve 'www.aberdeenshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Aberdeenshire,https://democracy.aberdeenshire.gov.uk/,,"HTTPSConnectionPool(host='democracy.aberdeenshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.aberdeenshire.gov.uk', port=443): Failed to resolve 'democracy.aberdeenshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Aberdeenshire,https://aberdeenshire.moderngov.co.uk/,,"HTTPSConnectionPool(host='aberdeenshire.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='aberdeenshire.moderngov.co.uk', port=443): Failed to resolve 'aberdeenshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Aberdeenshire,https://aberdeenshire.gov.uk/meetings/,,"HTTPSConnectionPool(host='aberdeenshire.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='aberdeenshire.gov.uk', port=443): Failed to resolve 'aberdeenshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Arun,https://arun.gov.uk/,,"HTTPSConnectionPool(host='arun.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='arun.gov.uk', port=443): Failed to resolve 'arun.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Arun,https://www.arun.gov.uk/,,"HTTPSConnectionPool(host='www.arun.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.arun.gov.uk', port=443): Failed to resolve 'www.arun.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Arun,https://democracy.arun.gov.uk/,,"HTTPSConnectionPool(host='democracy.arun.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.arun.gov.uk', port=443): Failed to resolve 'democracy.arun.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Arun,https://arun.moderngov.co.uk/,,"HTTPSConnectionPool(host='arun.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='arun.moderngov.co.uk', port=443): Failed to resolve 'arun.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Arun,https://arun.gov.uk/meetings/,,"HTTPSConnectionPool(host='arun.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='arun.gov.uk', port=443): Failed to resolve 'arun.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashfield,https://ashfield.gov.uk/,,"HTTPSConnectionPool(host='ashfield.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='ashfield.gov.uk', port=443): Failed to resolve 'ashfield.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashfield,https://www.ashfield.gov.uk/,,"HTTPSConnectionPool(host='www.ashfield.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.ashfield.gov.uk', port=443): Failed to resolve 'www.ashfield.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashfield,https://democracy.ashfield.gov.uk/,,"HTTPSConnectionPool(host='democracy.ashfield.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.ashfield.gov.uk', port=443): Failed to resolve 'democracy.ashfield.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashfield,https://ashfield.moderngov.co.uk/,,"HTTPSConnectionPool(host='ashfield.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='ashfield.moderngov.co.uk', port=443): Failed to resolve 'ashfield.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Ashfield,https://ashfield.gov.uk/meetings/,,"HTTPSConnectionPool(host='ashfield.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='ashfield.gov.uk', port=443): Failed to resolve 'ashfield.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
