council,council_url
Aberdeenshire,https://aberdeenshire.gov.uk/
Arun,https://arun.gov.uk/
Ashfield,https://ashfield.gov.uk/
Ashford,https://ashford.gov.uk/
Barnet,https://barnet.gov.uk/
Bassetlaw,https://bassetlaw.gov.uk/
Blaby,https://blaby.gov.uk/
Blackpool,https://blackpool.gov.uk/
Bolsover,https://bolsover.gov.uk/
Boston,https://boston.gov.uk/
Breckland,https://breckland.gov.uk/
Bridgend,https://bridgend.gov.uk/
Broxbourne,https://broxbourne.gov.uk/
Buckinghamshire,https://buckinghamshire.gov.uk/
Calderdale,https://calderdale.gov.uk/
Cambridgeshire,https://cambridgeshire.gov.uk/
Cheshire East,https://cheshireeast.gov.uk/
Cheshire West and Chester,https://cheshirewestandchester.gov.uk/
Chorley,https://chorley.gov.uk/
Cornwall,https://cornwall.gov.uk/
Dartford,https://dartford.gov.uk/
Derbyshire,https://derbyshire.gov.uk/
Devon,https://devon.gov.uk/
Doncaster,https://doncaster.gov.uk/
Durham,https://durham.gov.uk/
East Hertfordshire,https://easthertfordshire.gov.uk/
East Lindsey,https://eastlindsey.gov.uk/
East Riding of Yorkshire,https://eastridingofyorkshire.gov.uk/
Elmbridge,https://elmbridge.gov.uk/
Epping Forest,https://eppingforest.gov.uk/
Erewash,https://erewash.gov.uk/
Essex,https://essex.gov.uk/
Exeter,https://exeter.gov.uk/
Falkirk,https://falkirk.gov.uk/
Folkestone and Hythe,https://folkestoneandhythe.gov.uk/
Forest of Dean,https://forestofdean.gov.uk/
Glasgow City,https://glasgowcity.gov.uk/
Gloucestershire,https://gloucestershire.gov.uk/
Harlow,https://harlow.gov.uk/
Hartlepool,https://hartlepool.gov.uk/
Havant,https://havant.gov.uk/
Hertfordshire,https://hertfordshire.gov.uk/
Isle of Wight,https://isleofwight.gov.uk/
Kent,https://kent.gov.uk/
King's Lynn and West Norfolk,https://kingslynnandwestnorfolk.gov.uk/
Lancashire,https://lancashire.gov.uk/
Leicestershire,https://leicestershire.gov.uk/
Lichfield,https://lichfield.gov.uk/
Lincolnshire,https://lincolnshire.gov.uk/
Mansfield,https://mansfield.gov.uk/
Medway,https://medway.gov.uk/
Newcastle-under-Lyme,https://newcastleunderlyme.gov.uk/
Norfolk,https://norfolk.gov.uk/
North Ayrshire,https://northayrshire.gov.uk/
North East Derbyshire,https://northeastderbyshire.gov.uk/
North East Lincolnshire,https://northeastlincolnshire.gov.uk/
North Northamptonshire,https://northnorthamptonshire.gov.uk/
North Somerset,https://northsomerset.gov.uk/
North Warwickshire,https://northwarwickshire.gov.uk/
North West Leicestershire,https://northwestleicestershire.gov.uk/
North Yorkshire,https://northyorkshire.gov.uk/
Northumberland,https://northumberland.gov.uk/
Nottinghamshire,https://nottinghamshire.gov.uk/
Oxfordshire,https://oxfordshire.gov.uk/
Pendle,https://pendle.gov.uk/
Powys,https://powys.gov.uk/
Renfrewshire,https://renfrewshire.gov.uk/
Ribble Valley,https://ribblevalley.gov.uk/
Rochdale,https://rochdale.gov.uk/
Shropshire,https://shropshire.gov.uk/
Somerset,https://somerset.gov.uk/
South Holland,https://southholland.gov.uk/
South Lanarkshire,https://southlanarkshire.gov.uk/
Southend-on-Sea,https://southendonsea.gov.uk/
St. Helens,https://sthelens.gov.uk/
Staffordshire,https://staffordshire.gov.uk/
Stratford-on-Avon,https://stratfordonavon.gov.uk/
Suffolk,https://suffolk.gov.uk/
Swale,https://swale.gov.uk/
Tameside,https://tameside.gov.uk/
Teignbridge,https://teignbridge.gov.uk/
Tendring,https://tendring.gov.uk/
Thanet,https://thanet.gov.uk/
Thurrock,https://thurrock.gov.uk/
Torfaen,https://torfaen.gov.uk/
Uttlesford,https://uttlesford.gov.uk/
Warwickshire,https://warwickshire.gov.uk/
West Northamptonshire,https://westnorthamptonshire.gov.uk/
West Sussex,https://westsussex.gov.uk/
Wiltshire,https://wiltshire.gov.uk/
Windsor and Maidenhead,https://windsorandmaidenhead.gov.uk/
Wolverhampton,https://wolverhampton.gov.uk/
Worcester,https://worcester.gov.uk/
Worcestershire,https://worcestershire.gov.uk/
Wyre,https://wyre.gov.uk/
