name,council,reason
Bill Barrett,Ashford,missing_register_url
Giuliano Pinnelli,Arun,missing_register_url
Trevor Bence,Arun,missing_register_url
Andy Gascoyne,Ashfield,missing_register_url
Cathy Mason,Ashfield,missing_register_url
Dawn Justice,Ashfield,missing_register_url
Matt Turner,Bassetlaw,missing_register_url
Warren Limber,Bassetlaw,missing_register_url
Jonathan Noble,Boston,missing_register_url
Carol Wood,Bolsover,missing_register_url
Giles Hall,Broxbourne,missing_register_url
Siobhan Monaghan,Broxbourne,missing_register_url
Mark Shooter,Barnet,missing_register_url
Scott Hussey,Breckland,missing_register_url
Michael Westman,Breckland,missing_register_url
Robin Hunter-Clarke,Breckland,missing_register_url
John Cox,Aberdeenshire,missing_register_url
Mark Findlater,Aberdeenshire,missing_register_url
Laurie Carnie,Aberdeenshire,missing_register_url
Daniel Sutherland,Calderdale,missing_register_url
Andy Osborn,Cambridgeshire,missing_register_url
Christopher Thornhill,Cambridgeshire,missing_register_url
Colin Galbraith,Cambridgeshire,missing_register_url
Des Watt,Cambridgeshire,missing_register_url
Daniel Divine,Cambridgeshire,missing_register_url
James Sidlow,Cambridgeshire,missing_register_url
Reg Kain,Cheshire East,missing_register_url
John Wells,Cambridgeshire,missing_register_url
Michael Fisher,Cambridgeshire,missing_register_url
Graham Heatley,Cheshire West and Chester,missing_register_url
Ricky Ioannides,Cambridgeshire,missing_register_url
Mandy Clare,Cheshire West and Chester,missing_register_url
Stefan Fisher,Cambridgeshire,missing_register_url
Adrian Hunter,Derbyshire,missing_register_url
Alan Graves,Derbyshire,missing_register_url
Alex Millward,Derbyshire,missing_register_url
Carol Wood,Derbyshire,missing_register_url
Martin Topp,Chorley,missing_register_url
Charlotte Gates,Derbyshire,missing_register_url
Charlotte Hill,Derbyshire,missing_register_url
Darran Furness,Derbyshire,missing_register_url
Owain Clatworthy,Bridgend,missing_register_url
Darren Muizelaar,Derbyshire,missing_register_url
David Elsdon,Derbyshire,missing_register_url
David Harvey,Derbyshire,missing_register_url
Michael Brown,Dartford,missing_register_url
Jack Bradley,Derbyshire,missing_register_url
Jamie Hodgson,Derbyshire,missing_register_url
Jason Isherwood,Derbyshire,missing_register_url
Dawn Abbott,Derbyshire,missing_register_url
Jodie Brown,Derbyshire,missing_register_url
John Lawson,Derbyshire,missing_register_url
Joseph Turrell,Derbyshire,missing_register_url
Mark Chambers,Derbyshire,missing_register_url
Lewis Whitbread,Derbyshire,missing_register_url
Kevin Harper,Derbyshire,missing_register_url
Joss Barnes,Derbyshire,missing_register_url
Mark Cliff,Derbyshire,missing_register_url
Martin Bromley,Derbyshire,missing_register_url
Cameron Anderson,Buckinghamshire,missing_register_url
Matthew Benfield,Derbyshire,missing_register_url
Nephi Somerville,Derbyshire,missing_register_url
Nick Adams,Derbyshire,missing_register_url
Melandra Smith,Derbyshire,missing_register_url
Paul Oxberry,Derbyshire,missing_register_url
Peter Mathews,Derbyshire,missing_register_url
Richard Hatfield,Derbyshire,missing_register_url
Cole Caesar,Buckinghamshire,missing_register_url
Richard Smith,Derbyshire,missing_register_url
Richard Morgan,Derbyshire,missing_register_url
Paul Parkin,Derbyshire,missing_register_url
Roy Hallett,Derbyshire,missing_register_url
Robert Reaney,Derbyshire,missing_register_url
Sam Redfern,Derbyshire,missing_register_url
Sarah Reaney,Derbyshire,missing_register_url
Simon Mabbott,Derbyshire,missing_register_url
Stephen Reed,Derbyshire,missing_register_url
Tony Wilson,Derbyshire,missing_register_url
Stuart Bent,Derbyshire,missing_register_url
Kathy Gibbon,Buckinghamshire,missing_register_url
Dan Dawson,Doncaster,missing_register_url
Christopher Marriott,Doncaster,missing_register_url
Dave Knight,Doncaster,missing_register_url
Antony Dodds,Doncaster,missing_register_url
Chris Kidger,Doncaster,missing_register_url
Alexander Jones,Doncaster,missing_register_url
Craig Ward,Doncaster,missing_register_url
Brendan Megaw,Doncaster,missing_register_url
David Carroll,Doncaster,missing_register_url
Frank Jackson,Doncaster,missing_register_url
Glyn Whiting,Doncaster,missing_register_url
Gerald Squire,Doncaster,missing_register_url
Howard Rimmer,Doncaster,missing_register_url
Guy Aston,Doncaster,missing_register_url
Jason Charity,Doncaster,missing_register_url
John Reed,Doncaster,missing_register_url
Ioan-Emanuel Craciun,Doncaster,missing_register_url
Jackie Dudley,Doncaster,missing_register_url
Joan Briggs,Doncaster,missing_register_url
Karl Hughes,Doncaster,missing_register_url
Maria Hollingworth,Doncaster,missing_register_url
Kieran Lay,Doncaster,missing_register_url
Nick Pritchard,Doncaster,missing_register_url
Neil Wood,Doncaster,missing_register_url
Mark Broadhurst,Doncaster,missing_register_url
Nick Smith,Doncaster,missing_register_url
Paul Cutts,Doncaster,missing_register_url
Nicola Brown,Doncaster,missing_register_url
Rachel Reed,Doncaster,missing_register_url
Oliver Bloor,Doncaster,missing_register_url
Aaron Hillam,Durham,missing_register_url
Adrian Schulman,Durham,missing_register_url
Andrew Eales,Durham,missing_register_url
Andrew Harrison,Durham,missing_register_url
Andrew Husband,Durham,missing_register_url
Andrew Kilburn,Durham,missing_register_url
Brian Quirey,Durham,missing_register_url
Samuel Booth,Doncaster,missing_register_url
Cathy Hunt,Durham,missing_register_url
Rebecca Booth,Doncaster,missing_register_url
Steven Plater,Doncaster,missing_register_url
Chris Fairs,Durham,missing_register_url
Craig Marshall,Durham,missing_register_url
Christine Blatchford,Durham,missing_register_url
Russ Linley,Doncaster,missing_register_url
David Cumming,Durham,missing_register_url
Darren Grimes,Durham,missing_register_url
David Walton,Durham,missing_register_url
Dawn Bellingham,Durham,missing_register_url
Gavin Brydon,Durham,missing_register_url
Stephen Barnett,Doncaster,missing_register_url
Emma Hunt,Durham,missing_register_url
Dawn Saunders,Durham,missing_register_url
Ian Catchpole,Durham,missing_register_url
Howard Brown,Durham,missing_register_url
George Anderson,Durham,missing_register_url
Ian Cross,Durham,missing_register_url
Jack McGlenen,Durham,missing_register_url
Jackie Teasdale,Durham,missing_register_url
James Stephenson,Durham,missing_register_url
James Pickard,Durham,missing_register_url
Jasmine Fox,Durham,missing_register_url
Joe Quinn,Durham,missing_register_url
Jillian Campbell,Durham,missing_register_url
John Bailey,Durham,missing_register_url
John Cook,Durham,missing_register_url
John Cottier,Durham,missing_register_url
John Kinvig,Durham,missing_register_url
Karen Allison,Durham,missing_register_url
John Grant,Durham,missing_register_url
Kenny Hope,Durham,missing_register_url
Kate Rowland,Durham,missing_register_url
Vicky Lawson,Doncaster,missing_register_url
Kyle Genner,Durham,missing_register_url
Louise Taylor,Durham,missing_register_url
Lyndsey Fox,Durham,missing_register_url
Mark Rowney,Durham,missing_register_url
Mary-Lynn Franklin,Durham,missing_register_url
Matt Burnard,Durham,missing_register_url
William Shaw,Doncaster,missing_register_url
Nick Brown,Durham,missing_register_url
Neil Craggs,Durham,missing_register_url
Nicola Lyons,Durham,missing_register_url
Nicole Brown,Durham,missing_register_url
Paul Mountford,Durham,missing_register_url
Rhys Burriss,Durham,missing_register_url
Paul Bean,Durham,missing_register_url
Robbie Rodiss,Durham,missing_register_url
Saffron Sims-Brydon,Durham,missing_register_url
Sandra Grindle,Durham,missing_register_url
Robert Potts,Durham,missing_register_url
Scott Woodhouse,Durham,missing_register_url
Sean Healy,Durham,missing_register_url
Stephen Bowron,Durham,missing_register_url
Stephen Gray,Durham,missing_register_url
Steve Biggs,Durham,missing_register_url
Steven Franklin,Durham,missing_register_url
Tim McGuinness,Durham,missing_register_url
Susan Husband,Durham,missing_register_url
Tim Robson,Durham,missing_register_url
Tom Redmond,Durham,missing_register_url
Graham McAndrew,East Hertfordshire,missing_register_url
Terry Smith,East Hertfordshire,missing_register_url
Danny Brookes,East Lindsey,missing_register_url
Jimmy Brookes,East Lindsey,missing_register_url
Jaymey McIvor,Epping Forest,missing_register_url
Jaymey McIvor,Essex,missing_register_url
Tony Payne,Exeter,missing_register_url
Dan Price,Erewash,missing_register_url
Claire Brown,Falkirk,missing_register_url
Harrison Allman-Varty,Elmbridge,missing_register_url
David Wimble,Folkestone and Hythe,missing_register_url
Stuart Graham,Forest of Dean,missing_register_url
Chris Mayo,Gloucestershire,missing_register_url
Dean Botterill,Gloucestershire,missing_register_url
Leigh Challis,Gloucestershire,missing_register_url
Jason Preece,Gloucestershire,missing_register_url
Mark Howard,Gloucestershire,missing_register_url
Michael Rees,Gloucestershire,missing_register_url
Piers Camp,Gloucestershire,missing_register_url
Ray Donaghue,Gloucestershire,missing_register_url
Paul Jago,Harlow,missing_register_url
Stuart Graham,Gloucestershire,missing_register_url
Vernon Smith,Gloucestershire,missing_register_url
Vernon Gray,Gloucestershire,missing_register_url
Anthony Owen,Hertfordshire,missing_register_url
Christopher Wright,Hertfordshire,missing_register_url
